TransactionID,CustomerID,ProductID,TransactionDate,Quantity,TotalValue,Price,TransactionDay,TransactionTime,TransactionMonth,Transaction_TimePeriod,ProductName,Category,CustomerName,Region,SignupDate,AvgTransactionValue,DaysSinceLastTransaction,UniqueProductsPurchased,FavProduct,FavCategory,MostActiveTransactionDay,PeakTransactionTime
T00001,C0199,P067,2024-08-25,1,300.68,300.68,Sunday,12:38:23,August,Afternoon,ComfortLiving Bluetooth Speaker,Electronics,Andrea Jenkins,Europe,2022-12-03,494.82,93.0,4.0,P008,Electronics,Saturday,Afternoon
T00112,C0146,P067,2024-05-27,1,300.68,300.68,Monday,22:23:54,May,Evening,ComfortLiving Bluetooth Speaker,Electronics,Brittany Harvey,Asia,2024-09-04,642.7,40.0,4.0,P029,Electronics,Friday,Evening
T00166,C0127,P067,2024-04-25,1,300.68,300.68,Thursday,07:38:55,April,Morning,ComfortLiving Bluetooth Speaker,Electronics,Kathryn Stevens,Europe,2024-04-04,538.8133333333334,129.0,6.0,P028,Electronics,Thursday,Morning
T00272,C0087,P067,2024-03-26,2,601.36,300.68,Tuesday,22:55:37,March,Evening,ComfortLiving Bluetooth Speaker,Electronics,Travis Campbell,South America,2024-04-11,943.4614285714285,136.0,7.0,P029,Books,Monday,Evening
T00363,C0070,P067,2024-03-21,3,902.04,300.68,Thursday,15:10:10,March,Afternoon,ComfortLiving Bluetooth Speaker,Electronics,Timothy Perez,Europe,2022-03-15,781.3725,112.0,4.0,P049,Books,Thursday,Afternoon
T00442,C0188,P067,2024-12-26,1,300.68,300.68,Thursday,14:40:03,December,Afternoon,ComfortLiving Bluetooth Speaker,Electronics,Anna Ball,South America,2022-05-17,888.9150000000001,32.0,7.0,P057,Electronics,Friday,Morning
T00490,C0195,P067,2024-11-24,3,902.04,300.68,Sunday,11:49:48,November,Morning,ComfortLiving Bluetooth Speaker,Electronics,Jeremy Mclaughlin,South America,2024-09-17,672.7116666666667,64.0,6.0,P028,Home Decor,Tuesday,Evening
T00536,C0008,P067,2024-09-22,1,300.68,300.68,Sunday,06:13:59,September,Morning,ComfortLiving Bluetooth Speaker,Electronics,David Li,North America,2024-01-13,427.16099999999994,41.0,10.0,P004,Home Decor,Monday,Evening
T00564,C0157,P067,2024-12-07,3,902.04,300.68,Saturday,17:57:40,December,Evening,ComfortLiving Bluetooth Speaker,Electronics,Miguel Wong,North America,2024-01-30,375.21999999999997,51.0,5.0,P013,Electronics,Saturday,Afternoon
T00631,C0130,P067,2024-05-14,2,601.36,300.68,Tuesday,23:14:59,May,Evening,ComfortLiving Bluetooth Speaker,Electronics,Robert Jones,South America,2023-04-19,601.36,258.0,1.0,P067,Electronics,Tuesday,Evening
T00727,C0051,P067,2024-01-20,3,902.04,300.68,Saturday,04:52:14,January,Evening,ComfortLiving Bluetooth Speaker,Electronics,Nicholas Ellis,Europe,2023-12-21,814.2242857142857,42.0,7.0,P006,Electronics,Saturday,Evening
T00729,C0075,P067,2024-10-07,2,601.36,300.68,Monday,06:38:36,October,Morning,ComfortLiving Bluetooth Speaker,Electronics,Misty Higgins,Europe,2023-05-01,649.8855555555556,48.0,9.0,P013,Books,Friday,Evening
T00797,C0155,P067,2024-10-04,2,601.36,300.68,Friday,20:42:53,October,Evening,ComfortLiving Bluetooth Speaker,Electronics,Michelle Brown,South America,2023-03-23,768.2614285714286,77.0,7.0,P026,Books,Wednesday,Evening
T00002,C0092,P034,2024-12-16,2,434.1,217.05,Monday,03:31:07,December,Evening,HomeSense T-Shirt,Clothing,Jacqueline Zamora,Asia,2024-05-29,753.9875,42.0,3.0,P036,Clothing,Monday,Evening
T00063,C0088,P034,2024-06-19,2,434.1,217.05,Wednesday,07:16:55,June,Morning,HomeSense T-Shirt,Clothing,Carlos Murray,Asia,2023-05-14,427.076,43.0,5.0,P010,Clothing,Sunday,Evening
T00093,C0109,P034,2024-08-11,4,868.2,217.05,Sunday,04:10:13,August,Evening,HomeSense T-Shirt,Clothing,Abigail Jones,North America,2022-05-09,498.84090909090907,81.0,10.0,P100,Clothing,Saturday,Evening
T00127,C0041,P034,2024-06-03,4,868.2,217.05,Monday,21:07:56,June,Evening,HomeSense T-Shirt,Clothing,Lindsey Deleon,Europe,2023-12-27,878.54,43.0,7.0,P011,Books,Sunday,Evening
